epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,55897.4,0.37565,0.45035,0.16767,1.0046,0.9956,0.99478,0.99487,0.93461,0.99459,0.99378,0.99484,0.93349,0.43725,0.5104,0.17692,0.86866,0.00109,0.00109,0.00109
92,56508.3,0.36465,0.44076,0.16143,0.99397,0.99592,0.9948,0.99487,0.93483,0.99469,0.9938,0.99484,0.93429,0.43661,0.50975,0.17673,0.86824,0.000991,0.000991,0.000991
93,57118.4,0.35414,0.43084,0.15592,0.98633,0.99619,0.99425,0.99488,0.93551,0.99479,0.994,0.99485,0.93466,0.43564,0.50934,0.17657,0.86748,0.000892,0.000892,0.000892
94,57727.8,0.34659,0.42237,0.15265,0.97943,0.99579,0.9952,0.99489,0.93543,0.995,0.99456,0.99485,0.93488,0.43496,0.50891,0.17701,0.86694,0.000793,0.000793,0.000793
95,58337.4,0.3387,0.41397,0.14696,0.97356,0.99602,0.995,0.99488,0.9359,0.9954,0.99455,0.99488,0.93528,0.43433,0.50892,0.17643,0.86653,0.000694,0.000694,0.000694
96,58946.7,0.33087,0.40768,0.14308,0.96731,0.99595,0.9952,0.99488,0.9357,0.99535,0.9946,0.99488,0.93539,0.43355,0.50908,0.17617,0.86608,0.000595,0.000595,0.000595
97,59556,0.3237,0.40026,0.13899,0.96202,0.99598,0.9952,0.99488,0.93578,0.99558,0.9948,0.99487,0.93541,0.43306,0.50934,0.17608,0.86591,0.000496,0.000496,0.000496
98,60166.2,0.31588,0.39199,0.13448,0.95627,0.9962,0.99511,0.99488,0.93576,0.99579,0.99471,0.99487,0.93554,0.43264,0.50981,0.17526,0.86597,0.000397,0.000397,0.000397
99,60778.3,0.30955,0.38554,0.13081,0.95169,0.9962,0.99528,0.99487,0.93596,0.9956,0.99476,0.99484,0.9357,0.43246,0.51062,0.17468,0.86637,0.000298,0.000298,0.000298
100,61389.1,0.30215,0.37937,0.12762,0.94521,0.99586,0.9952,0.99487,0.93578,0.99566,0.995,0.99486,0.93582,0.43231,0.51217,0.17429,0.86711,0.000199,0.000199,0.000199
